QUESTION,BT_LEVEL
"Market anomalies are research findings that do not support market efficiency hypothesis; that is, they are evidence that inefficiencies do exist. Discuss FIVE (5) common market anomalies. ",K2-UNDERSTAND
Discuss TWO (2) key differences between stock warrants and stock options. ,K2-UNDERSTAND
"Explain the trading behavior of hedger, speculator and arbitrageur.",K2-UNDERSTAND
Explain why contango and backwardation happen in the commodity market. ,K2-UNDERSTAND
A bond fund manager decided to allocate certain percentage of the portfolio in foreign bond market to improve the reward-to-risk ratio. Briefly explain THREE (3) specific risks related to investing in international bond market. ,K2-UNDERSTAND
Daniel Kahneman and Amos Tversky believe that many stock investors are far from fully rational. Explain FOUR (4) common factors that create irrational market behavior. ,K2-UNDERSTAND
Discuss the potential profit and loss for the long straddle. ,K2-UNDERSTAND
"""Portfolio management strategies are different based on the investor's risk preferences and expected return"". Based on above statement, explain TWO (2) major portfolio management strategies. ",K2-UNDERSTAND
Provide arguments on how these investment strategies help in maintaining market efficiency. ,K2-UNDERSTAND
Describe characteristics and importance of secondary market. ,K2-UNDERSTAND
Discuss FOUR (4) reasons why Capital Asset Pricing Model (CAPM) is not the best model to estimate returns. ,K2-UNDERSTAND
Discuss in detail the THREE (3) major asset allocation strategies in managing portfolio. ,K2-UNDERSTAND
"According to many researchers, market inefficiencies do exist in most of the stock markets in the world and also known as market anomalies. This situation is contradicted to market efficiency hypothesis. Describe SIX (6) market inefficiencies that commonly happen in the stock markets. ",K2-UNDERSTAND
Discuss FOUR (4) risks involved in trading US-dollar denominated crude palm oil futures contract (FUPO). ,K2-UNDERSTAND
Define and explain reinvestment risk with an example. ,K2-UNDERSTAND
Define Put-Call Parity and express it in equation. ,K2-UNDERSTAND
Majority shareholders may be opportunistic at the expense of minority  shareholders due to their controlling stake in the company. Explain majority agency problem in the context of corporate governance. ,K2-UNDERSTAND
"Company directors remain the most important group of people who monitor 
and control the company on behalf of the shareholders. Explain the SIX (6) roles of company directors.",K2-UNDERSTAND
Independent Non-Executive Directors (INEDs) play crucial roles in the  assurance of effective corporate governance of public listed companies. Provide an assessment on the contributions of INEDs in promoting effective corporate governance. ,K2-UNDERSTAND
"Being outside directors, Independent Non-Executive Directors (INEDs) do not work in the company on a daily basis. Their hands are tied due to the nature of their positions. Provide an assessment on the limitations of INEDs in the context of corporate governance ",K2-UNDERSTAND
"Company director can be removed by the shareholders during general meetings. However, the office of a director can become vacant under certain circumstances. Discuss FOUR (4) criteria for vacation of office.",K2-UNDERSTAND
"Director independence is a pivotal element of corporate governance. Illustrate the requirements of ""Persons Connected with Directors"" as stipulated under Companies Act 2016 Section 197(1). ",K2-UNDERSTAND
Managing and engaging stakeholders have gained important grounds in corporate decision making. Provide your justifications for companies to adopt stakeholder model. ,K2-UNDERSTAND
State and discuss the approach as prescribed in Malaysian Code on Corporate Governance (MCCG) 2017. ,K2-UNDERSTAND
State 'corporate governance' definition as mentioned in Cadbury Report (1992). Explain Malaysian Code on Corporate Governance (MCCG) 2017 “corporate governance' definition in details. ,K2-UNDERSTAND
Highlight the important issues discussed in Greenbury Report 1995. ,K2-UNDERSTAND
Discuss the components that are integral to the internal control framework in a public listed company. ,K2-UNDERSTAND
"The internet has been considered as a low cost option for selling products and services. From a firm's perspective, explain FOUR (4) factors that add to the cost of doing business on the internet. ",K2-UNDERSTAND
"Discuss the level of trust consumers place in digital media, and how that trust helps or hinders e-marketers. ",K2-UNDERSTAND
"Discuss the adoption issues surrounding Facebook and internet, as well as their implications for e-marketers. ",K2-UNDERSTAND
Define social commerce and discuss its advantages for e-marketers.,K2-UNDERSTAND
Information technology can be expensive. Identify and explain FIVE (5) factors that put upward pressure on internet pricing for online retailer. ,K2-UNDERSTAND
"Media planners want both effective and efficient media buys. In your role as a new media planner of a digital marketing agency, explain how would you know you have made an effective advertising buy over the internet. ",K2-UNDERSTAND
The internet increases customer benefits in many ways that have revolutionised marketing practices. Discuss with examples THREE (3) ways in which internet increases customer benefits from products offered online.,K2-UNDERSTAND
Market research firms and product review sites are examples of infomediary. Discuss the role and benefits of an infomediary model in the online distribution system. ,K2-UNDERSTAND
E-mail marketing has evolved rapidly alongside the technological growth of the 21st century. Discuss FIVE (5) reasons why e-mail marketing is still a growth area in digital marketing. ,K2-UNDERSTAND
The 'creators' and critics' are the most desired social segments. Explain how social media marketers are able to increase these segments' level of involvement in the social media. ,K2-UNDERSTAND
"Using Tom Duncan's levels of brand relationship intensity, explain the relationship between Apple iPhone and its customers.",K2-UNDERSTAND
You are the new online advertising consultant for Loreal Malaysia. Explain to your client SEVEN (7) important paid media metrics in online advertising.,K2-UNDERSTAND
“Millennials and kids are important market segments for e-marketers”. Discuss on the above statement. ,K2-UNDERSTAND
"With respect to the data processing cycle of an organisation, explain the ""garbage in, garbage out"". Briefly discuss on the measures to be taken by the companies to avoid “garbage in"" data input errors. ",K2-UNDERSTAND
Name and briefly discuss the EIGHT (8) documents used in the purchase and cash disbursement process of a company. ,K2-UNDERSTAND
Briefly explain any TWO (2) advantages of real time data processing in the sales and cash receipt system. ,K2-UNDERSTAND
Briefly discuss the key segregation of duties that should exist in the traditional manufacturing environment. ,K2-UNDERSTAND
Briefly explain the SIX (6) key activities involved in the conversion cycle of a manufacturing company. ,K2-UNDERSTAND
Briefly explain Financial Reporting System (FRS) and identify THREE (3) potential risks in FRS. ,K2-UNDERSTAND
Cost benefit analysis is a process that helps management determine whether (and by how much) the benefits exceed costs. Briefly explain FOUR (4) intangible benefits. ,K2-UNDERSTAND
Discuss the advantages of real-time data input and over batch processing in expenditure cycle. ,K2-UNDERSTAND
Discuss in details what Accounting Information Systems (AIS) is. ,K2-UNDERSTAND
State your opinion on whether financial reporting system is more important than management reporting system and the appropriateness of placing more emphasis on producing non-discretionary financial reports. Provide arguments to support. ,K2-UNDERSTAND
Discuss any FOUR (4) underlying principles of lean manufacturing approach. ,K2-UNDERSTAND
Explain on the advantages of switching from a flat-file processing system to a database management system. ,K2-UNDERSTAND
Discuss THREE (3) types of anomalies associated with database tables that have not been normalized. ,K2-UNDERSTAND
Briefly explain any TWO (2) security objectives of audit trails. ,K2-UNDERSTAND
Define and contrast digital certificate and digital signature. ,K2-UNDERSTAND
Explain how transactions are audited in an electronic data interchange environment. ,K2-UNDERSTAND
List any THREE (3) pairs of system functions that should be separated in the centralized computer services organization and describe a risk exposure if the functions are not separated. ,K2-UNDERSTAND
Discuss any FOUR (4) elements which are embedded in Total Quality Management Programme. ,K2-UNDERSTAND
Explain FOUR (4) process strategies you have learned. ,K2-UNDERSTAND
Discuss the importance of Philip Crosby's suggestion on “do it right the first time” by manufacturing company. ,K2-UNDERSTAND
Explain any FOUR (4) product design strategies that could help company to reduce cost. ,K2-UNDERSTAND
Explain FOUR (4) types of process design that could be found in manufacturing companies. ,K2-UNDERSTAND
ABC inventory analysis is one of the methods used by manufacturing companies for effective inventory management. Explain your answer. ,K2-UNDERSTAND
Briefly explain FOUR (4) manufacturing layout you have learned.,K2-UNDERSTAND
Discuss TWO (2) common methods of managing inventory adopted by manufacturing and retailing companies. ,K2-UNDERSTAND
Identify any TWO (2) product design strategies you have learned. Explain how both strategies could be useful for instant respond to customer demand. ,K2-UNDERSTAND
The key success of Arnold Palmer Hospital is its implementation of Total Quality Management (TQM) Programme. Describe FIVE (5) principles of TQM Programme which have been adopted by the aforesaid hospital. ,K2-UNDERSTAND
Explain any FOUR (4) product design strategies you have learned. Evaluate the importance of each strategy. ,K2-UNDERSTAND
Discuss what world-class producers do in regards to product or service design and process design. ,K2-UNDERSTAND
Identify FIVE (5) strategies to make hypermarket retail layout to be more attractive in responding to customers' various shopping behaviors.,K2-UNDERSTAND
State FOUR (4) reasons why level strategy is attractive to some companies in preparing aggregate production plan. ,K2-UNDERSTAND
Explain the purpose of human communication process. ,K2-UNDERSTAND
Explain the process of consumer perception and provide ONE (1) example to support your explanation. ,K2-UNDERSTAND
Explain the reasons of using a mixed-media approach by advertisers. ,K2-UNDERSTAND
"Marketers theorize that just as humans pass through stages in life from infancy to old age, products also pass through a product life cycle. Explain all FOUR (4) stages of a product life cycle. ",K2-UNDERSTAND
Explain briefly the effectiveness of advertising based on strategy concept. ,K2-UNDERSTAND
"Describe the effectiveness of advertising value of products, price, competition, consumer and business.",K2-UNDERSTAND
Explain FIVE (5) advantages of out-of-home (OOH) advertising.,K2-UNDERSTAND
Explain FIVE (5) disadvantages of out-of-home (OOH) advertising. ,K2-UNDERSTAND
Explain FOUR (4) benefits of using Digital-Out-Of-Home in advertising. ,K2-UNDERSTAND
Explain the psychological factors which influence consumer behavior. ,K2-UNDERSTAND
Discuss the negative effects of advertising on children. ,K2-UNDERSTAND
Explain briefly the media usage in advertising effectiveness. ,K2-UNDERSTAND
Explain 4P's of marketing. ,K2-UNDERSTAND
Explain in detail the Maslow Hierarchy of Needs. ,K2-UNDERSTAND
Draw a comprehensive poster layout design for Visit Malaysia 2020 campaign. Provide a design rationale to support your idea. ,K2-UNDERSTAND
Explain TWO (2) components of art. ,K2-UNDERSTAND
Sketch ONE (1) organic object in one layout to show harmony in shape and color. ,K2-UNDERSTAND
Sketch ONE (1) movement to show repetition in shape and color. ,K2-UNDERSTAND
Draw ONE (1) point perspective with TWO (2) geometrical forms.,K2-UNDERSTAND
Draw a color wheel diagram with primary and secondary color. ,K2-UNDERSTAND
"Referring to the given poster design, explain in details the usage of elements and principles of arts. ",K2-UNDERSTAND
Define symmetrical balance and asymmetrical balance. Draw an example for each. ,K2-UNDERSTAND
Draw similar repetition and interval repetition. ,K2-UNDERSTAND
Draw TWO (2) point perspectives with TWO (2) geometrical forms.,K2-UNDERSTAND
"Referring to the given poster design, explain in details the usage of elements and principles of arts. ",K2-UNDERSTAND
Explain briefly 'designer' and 'professional designer'.,K2-UNDERSTAND
"Define graphic design, product design and environmental design. Provide ONE (1) example for each. ",K2-UNDERSTAND
Explain creative brief. ,K2-UNDERSTAND
Explain briefly the design development process.,K2-UNDERSTAND
Explain the conceptual design process. ,K2-UNDERSTAND
Explain FIVE (5) phases of graphic design process. ,K2-UNDERSTAND
Draw ONE (1) self-contained format and ONE (1) free form format of logo design. ,K2-UNDERSTAND
Explain the importance of visual in a poster design. ,K2-UNDERSTAND
Draw an image using light and shadow to describe form most closely simulates how we perceive forms in nature. ,K2-UNDERSTAND
Draw a front and back for business card layout. ,K2-UNDERSTAND
Draw a Picture Window layout design. ,K2-UNDERSTAND
Draw TWO (2) logo design for food and beverage products. ,K2-UNDERSTAND
Explain the process of ideas generation. ,K2-UNDERSTAND
Explain briefly FIVE (5) strategies for effective packaging design. ,K2-UNDERSTAND
Illustrate type driven layout design for a poster. ,K2-UNDERSTAND
Explain in details FIVE (5) ways to make a brand name effective.,K2-UNDERSTAND
Write in details FIVE (5) phases of design process.,K2-UNDERSTAND
Explain the meaning of creative brief.,K2-UNDERSTAND
Draw a poster layout design for Healthy Life Style. ,K2-UNDERSTAND
"In about 70 words, explain how the different components function in language learning. ",K2-UNDERSTAND
Choose ONE (1) of the factors that you mentioned in question 2(a) and briefly explain why you consider this factor is important. ,K2-UNDERSTAND
Discuss the role of skimming and scanning as pre-reading activities. ,K2-UNDERSTAND
List and discuss briefly FIVE (5) learner-related factors when conducting an English lesson to a class of Form Two students. ,K2-UNDERSTAND
"The pre-planning stage of a lesson takes into consideration several factors. Name 
FIVE (5) external factors and briefly explain the importance of each of the factors. ",K2-UNDERSTAND
Discuss FIVE (5) main differences between aims and learning outcomes. ,K2-UNDERSTAND
"Write an appropriate learning outcome to teach “in”, “on”, beside', 'opposite and 'under. ",K2-UNDERSTAND
"There are several factors that influence language teaching and language learning. Name 
and briefly explain the FIVE (5) external factors that you would consider when teaching English Language. ",K2-UNDERSTAND
"Using the process approach in writing composition, describe the activities you would 
carry out to write a composition entitled 'A visit to a zoo in a Form 1 class. ",K2-UNDERSTAND
Illustrate the stages of product approach of teaching ESL writing. Use appropriate examples. ,K2-UNDERSTAND
Identify FIVE (5) points on how social media can be utilized by the organization during a crisis. Elaborate your answers with explanation for each point. ,K2-UNDERSTAND
Discuss FOUR (4) tactics that can be used by a spokesperson to handle different types of questions from the media. Provide your discussions with an appropriate example for each tactic. ,K2-UNDERSTAND
Explain FOUR (4) categories of unintentional crisis. Provide your answer with an appropriate example for each category. ,K2-UNDERSTAND
Identify FOUR (4) statements should be avoided by spokesperson as the representative of an organization during a press conference. Elaborate your answer with an example for each statement. ,K2-UNDERSTAND
Identify FOUR (4) types of key publics that McDonald's Malaysia has to notify about the crisis. Explain your answer with appropriate example for each of the publics. ,K2-UNDERSTAND
Explain FIVE (5) characteristics of social media. ,K2-UNDERSTAND
Identify FOUR (4) major crisis variables in organizing and analyzing crisis evolution data. Support your answer with explanation and ONE (1) example for each variable. ,K2-UNDERSTAND
Discuss FIVE (5) stages of crisis management. Provide your discussion with ONE (1) appropriate example for each stage. ,K2-UNDERSTAND
Identify FIVE (5) lists giving advices of how organization can cominunicate with the public during the crisis. Explain your answer with ONE (1) example for each advice given. ,K2-UNDERSTAND
Explain FIVE (5) key components of organization crisis definition.,K2-UNDERSTAND
Discuss the TWO (2) steps of Crisis Management Performance (CMP) evaluation process. Provide an appropriate example for each step. ,K2-UNDERSTAND
Identify TWO (2) functions of crisis communication that must be addressed when communicating with internal stakeholder during a crisis. Explain your answer with an exarnple for each function. ,K2-UNDERSTAND
Explain the FOUR (4) roles of media during a crisis. Support your explanation with an appropriate example for each role. ,K2-UNDERSTAND
Identify the type of crisis based on time as a critical variable. ,K2-UNDERSTAND
List TEN (10) components of an effective crisis communication plan.,K2-UNDERSTAND
Explain FIVE (5) ways that can be practiced by the organization to communicate during the crisis. ,K2-UNDERSTAND
Explain the THREE (3) processes of forming a public opinion. Provide your answers with an example for each process. ,K2-UNDERSTAND
Discuss FOUR (4) key components that involve in explaining an organizational crisis. Explain your answer with an example for each component. ,K2-UNDERSTAND
"As a spokesperson that is handling the crisis, identify TWO (2) potential trick questions that might be asked by the reporters during the press conference. Provide your answer with explanation and an example for each trick question identified. ",K2-UNDERSTAND
Sleep is a local phenomenon. Explain how this is possible. Provide TWO (2) examples to illustrate this. ,K2-UNDERSTAND
Reason why a pornographic viewer's mind is likened to an addict's mind. Provide TWO (2) points. ,K2-UNDERSTAND
Treating emotion as a useful concept is challenging. Critically discuss why treating emotion as a useful concept is challenging. Provide TWO (2) points. ,K2-UNDERSTAND
Describe what happens during the negative feedback loop of thermoregulation. ,K2-UNDERSTAND
Reason why hunger cannot be simplified as yet another homeostatic process. Provide TWO (2) points. ,K2-UNDERSTAND
Dopamine and glutamate have both been implicated as causes of schizophrenia. Discuss THREE (3) evidences each in relation to the dopamine and glutamate theories of schizophrenia. ,K2-UNDERSTAND
"Give FIVE (5) examples of how a song can enhance a literature class, with an elaboration for each example given. ",K2-UNDERSTAND
Rewriting and restructuring are the methods to modify instructional material when it is adapted. Illustrate both methods by adapting a short story to teach speaking to intermediate proficiency students. ,K2-UNDERSTAND
Define instructional materials. Provide an example of an instructional material for a subject. ,K2-UNDERSTAND
Explain FOUR (4) criteria of instructional materials by Tomlinson (2001). ,K2-UNDERSTAND
"There are five (5) techniques in adapting materials as conjured by McDonough, Shaw and Matsuhara (2012). Elaborate on the ADDING technique to adapt a topic in a course book to teach present tense to Form 1 low proficiency students by using example. ",K2-UNDERSTAND
"Describe dictogloss and how it can be used to teach listening, writing and  speaking skills for intermediate proficiency students. ",K2-UNDERSTAND
Define instructional materials and provide an example of it. ,K2-UNDERSTAND
Explain how instructional materials can facilitate the teaching and learning process. Give ONE (1) example. ,K2-UNDERSTAND
Define teachers' Pedagogical Reasoning Skills and explain how it helps teachers use instructional materials in classroom. ,K2-UNDERSTAND
Deleting and abridging are methods to modify instructional material when it is adapted. Illustrate both methods by adapting a short story to teach reading and writing skills to intermediate proficiency students.,K2-UNDERSTAND
Discuss TWO (2) disadvantages of tokenism that is usually used to create a positive image of the system that the system is fair and without discrimination. ,K2-UNDERSTAND
Identify TWO (2) types of personality that are relevant to aggression. ,K2-UNDERSTAND
Explain TWO theories of causal attribution that was proposed by Jones and Davis (1965) and Kelley (1972). ,K2-UNDERSTAND
Identify FOUR (4) factors that affect the willingness of people to perform prosocial behaviors. ,K2-UNDERSTAND
The Political-Legal Environment of the Home Country is included In International marketing and advertising. Explain the Trade Sanctions and Export and Import Controls. ,K2-UNDERSTAND
Discuss political risk in the Political-Legal Environment of the Host Country. ,K2-UNDERSTAND
Discuss Individualism vs. Collectivism in Hofstede's Dimensions of Culture. ,K2-UNDERSTAND
Explain THREE (3) data collection challenges in advertising research.,K2-UNDERSTAND
Explain on global and local approach in coordinating and controlling the international advertising.,K2-UNDERSTAND
Explain the Mandatory of Product Adaptation. ,K2-UNDERSTAND
Explain the consideration of pricing objectives in marketing mix. ,K2-UNDERSTAND
Mass media regularly use women in the mediuin of marketing and advertising. Discuss the possible negative consequences for various segments of the population and society. ,K2-UNDERSTAND
Discuss the relationship between advertising and children. ,K2-UNDERSTAND
Discuss the impact of advertising on children. ,K2-UNDERSTAND
Identify and explain FIVE (5) countries that ban advertising to children. ,K2-UNDERSTAND
Explain the function of International Monetary Fund (IMF). ,K2-UNDERSTAND
Explain on Brand Piracy. ,K2-UNDERSTAND
Explain the packaging and labeling decisions. ,K2-UNDERSTAND
Explain the anti-advertising consumer organizations culture. ,K2-UNDERSTAND
Explain the effect of stereotyping young teenage in advertising on society. ,K2-UNDERSTAND
Illustrate TWO (2) Implications for International Advertisers ,K2-UNDERSTAND
"For international marketers, economic factors are important. Explain why economic factors are important to them. ",K2-UNDERSTAND
Explain FIVE (5) reasons for the importance of global markets to marketers. ,K2-UNDERSTAND
Outline the FIVE (5) options marketers have when it comes to Agency Selection. ,K2-UNDERSTAND
Explain THREE (3) waves of globalisation. ,K2-UNDERSTAND
"Due to saturated domestic markets, large firms were looking for foreign countries for new customers. Explain why China has been choose as a new market. ",K2-UNDERSTAND
Explain whether using women as sexual objects can grab the viewer's attention and lend to interest to a product or service. ,K2-UNDERSTAND
Identify the role of advertising in global women's magazines and local women's magazine. ,K2-UNDERSTAND
Summarise the challenges of global advertising. ,K2-UNDERSTAND
Explain formal network. ,K2-UNDERSTAND
Illustrate Blake and Mouton's Managerial Grid leadership styles using a diagram. Explain each of the management style identified. ,K2-UNDERSTAND
Discuss FIVE (5) factors that are most likely to influence the effectiveness of upward communication. ,K2-UNDERSTAND
"Discuss FIVE (5) principles that are central to relational leadership by Komives, Lucas and McMahon (1998). Provide ONE (1) example for each principle. ",K2-UNDERSTAND
Draw and label the model of Karl Weick's Theory of Organizing. ,K2-UNDERSTAND
"Explain FIVE (5) causes of ""glass ceiling by providing a relevant example for each cause. ",K2-UNDERSTAND
Informal communication network roles are equally important as formal ones. Describe any FOUR (4) of the influential roles and discuss the benefits each of the roles can bring to organizations. ,K2-UNDERSTAND
Hersey and Blanchard (1977) style of leadership specifies that a leader's behavior corresponds to employees' level of maturity. Explain the FOUR (4) styles of Situational Leadership and support your answer with an example for each of the styles on whom they should be applied in an organization. ,K2-UNDERSTAND
Explain distributive bargaining and integrative bargaining. ,K2-UNDERSTAND
Explain TWO characteristics of rich media. ,K2-UNDERSTAND
Discuss THREE (3) consequences of technology on organizational communication. Provide ONE (1) relevant example for each answer. ,K2-UNDERSTAND
"Draw the ""onion model that represents Schein's Model of Organizational Culture. ",K2-UNDERSTAND
Discuss the THREE (3) levels of organizational culture outlined by Schein. Provide your discussion with an example for each level. ,K2-UNDERSTAND
Explain the FIVE (5) stages of organizational conflict according to Pondy's (1967) model. ,K2-UNDERSTAND
Thomas (1976) has identified five styles in resolving a conflict such as avoidance. Explain the other FOUR (4) styles in resolving a conflict. ,K2-UNDERSTAND
Explain the SIX (6) power bases that determine effective leadership. Provide an example for each of the answers.,K2-UNDERSTAND
Elaborate FOUR (4) advantages of using Web 2.0 and 3.0 in teaching and learning. ,K2-UNDERSTAND
"Explain how the Utilize technology, media and materials stage in ASSURE model can help creating a more effective teaching and learning environment. ",K2-UNDERSTAND
Define the basic concepts involved in incorporating technology in teaching English language at secondary school level. ,K2-UNDERSTAND
Illustrate with example the FOUR (4) advantages of photography. ,K2-UNDERSTAND
Categorize FIVE (5) advantages of multimedia in primary school education. ,K2-UNDERSTAND
Relate FOUR (4) disadvantages of Web-based learning as an emerging digital technology used in teaching and learning.,K2-UNDERSTAND
Draw a technology enhanced language learning classroom sketch for low proficiency primary year 6 students. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ,K2-UNDERSTAND
Draw a technology enhanced language learning classroom sketch for advanced level primary year 6 students. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ,K2-UNDERSTAND
Massive Open Online Course (MOOC) is a developing trend in media and technology. Predict the future of higher education with MOOC. ,K2-UNDERSTAND
Each of the FOUR (4) different historical perspectives have a unique outlook on Educational Technology and defines it in a slightly different way. List and discuss the FOUR (4) perspectives. ,K2-UNDERSTAND
Explain FOUR (4) advantages of using multimedia in classroom. ,K2-UNDERSTAND
Interpret FIVE (5) emerging trends of technology application in education. ,K2-UNDERSTAND
"Draw a technology enhanced language learning classroom sketch for a writing lesson with 12 high proficiency students, aged 10. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ",K2-UNDERSTAND
"Draw a technology enhanced language learning classroom sketch for a grammar lesson with 10 low proficiency students, aged 13. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ",K2-UNDERSTAND
"Provide a guideline for effective use of photography of display materials"" in teaching of English language. ",K2-UNDERSTAND
Categorize the basic concepts of multimedia with an example for each. ,K2-UNDERSTAND
Explain all the elements of multimedia with examples. ,K2-UNDERSTAND
Interpret FIVE (5) usage of Learning Management System as an emerging technology in the context of teaching and learning.,K2-UNDERSTAND
Explain the term inflation as used in building economics. ,K2-UNDERSTAND
Outline TWO (2) main causes of inflation. ,K2-UNDERSTAND
Elaborate the term of national income as used in building economics.,K2-UNDERSTAND
Explain FIVE (5) characteristics of the construction sector. ,K2-UNDERSTAND
Describe FIVE (5) limitations of small size construction firms in Malaysia. ,K2-UNDERSTAND
The price of good is one of the internal factors of determinants of demands and it also depends on the cost of production. Describe the TWO (2) types of production cost with examples. ,K2-UNDERSTAND
You are working with SP Setia Properties as the Sales Manager for the following project. Discuss EIGHT (8) ways to increase profits of the project. ,K2-UNDERSTAND
Elaborate in general how construction industry is managed by the government and in detail how a government strategy to improve the industry can be delivered effectively.,K2-UNDERSTAND
There are a number of factors influencing the productivity of a sector of the economy. Explain accordingly. ,K2-UNDERSTAND
Explain the basic concepts in construction economics as introduced by Myers (2017).,K2-UNDERSTAND
"In their efforts to achieve their macroeconomic objectives, all governments, regardless of political persuasion, employ the same types of policy instrument. Discuss.",K2-UNDERSTAND
Draw the market demand and supply curve. ,K2-UNDERSTAND
Describe SIX (6) factors that are affecting supply in the construction industry. ,K2-UNDERSTAND
Explain THREE (3) difficulties in calculating national income accounting. ,K2-UNDERSTAND
National income accounting refers to a set of rules and techniques that are used to measure the national income of a country. Explain the EIGHT (8) reasons why national income accounting is important. ,K2-UNDERSTAND
Draw the ‘market demand' and 'supply curve'. ,K2-UNDERSTAND
Identify and describe the FOUR (4) criteria for judging economic outcomes. ,K2-UNDERSTAND
"Discuss the THREE (3) important fundamentals in basic economic concepts that are opportunity cost, efficient market and marginalism. ",K2-UNDERSTAND
"For any points which fall under the curve, explain the combination of production for steel and bricks. ",K2-UNDERSTAND
"For any points which fall outside the curve, explain the combination of production for steel and bricks. ",K2-UNDERSTAND
"For any points which fall exactly on the curve, explain the combination of production for steel and bricks. ",K2-UNDERSTAND
Discuss the comparison between 'Quantitative Instruments' and 'Qualitative Instruments' of monetary policy. ,K2-UNDERSTAND
National income accounting refers to a set of rules and techniques that are used to measure the national income of a country. Explain EIGHT (8) significant factors of national income accounting. ,K2-UNDERSTAND
Identify and describe THREE (3) difficulties in calculating national income accounting.,K2-UNDERSTAND
You are appointed to identify building defects for a new building. Briefly identify SIX (6) common construction problems you would expect for modern buildings. ,K2-UNDERSTAND
You are conducting a building survey for a 2 year old building where you reported premature building decay. Explain the possible factors that may cause these defects to the building owner. ,K2-UNDERSTAND
Building Information Modeling (BIM) claims to enhance construction efficiency. Discuss THREE (3) benefits you would utilize and their importance to your project. ,K2-UNDERSTAND
In a building there is always concern with fire safety. List what aspects you would assess in order to achieve strict compliance in the building design. ,K2-UNDERSTAND
Describe the concept or purpose of Qlassic and CIS (Construction Industry Standards) documents. ,K2-UNDERSTAND
Discuss FOUR (4) common modern construction problems to anticipate. ,K2-UNDERSTAND
Describe the factors affecting premature building decay. ,K2-UNDERSTAND
Provide the objectives of building maintenance. ,K2-UNDERSTAND
Describe the basic Qlassic inspection tools used and how they are used to detect the various types of defects for their assessment of quality.,K2-UNDERSTAND
Describe THREE (3) types of test that can be applied for a concrete structure survey. ,K2-UNDERSTAND
Describe the purposes of utilizing Building Information Modelling in the construction industry. ,K2-UNDERSTAND
Discuss FIVE (5) types of “Non Destructive Test equipment and how they can be used to aid the sensory indicators of building defects.,K2-UNDERSTAND
Discuss the types of building defects commonly found on reinforced concrete flat roof which lead to water leaking and concrete cancer and how their cause of defects are defined under ISO 6241. ,K2-UNDERSTAND
Describe the THREE (3) causes of concrete blister. ,K2-UNDERSTAND
Explain the conditions where underpinning are usually considered for an existing building construction works. ,K2-UNDERSTAND
Discuss the best practices to reduce construction demolition and waste for sustainability. ,K2-UNDERSTAND
Describe the 'Qlassic Assessment' principles on how to perform the evaluation. ,K2-UNDERSTAND
"If an electron in a hydrogen atom jumps from the first excited state to ground state, find the wavelength of the photon emitted. ",K2-UNDERSTAND
Find the velocity and wavelength of the electron. ,K2-UNDERSTAND
"Draw the energy band diagram of a pn junction. Label the depletion region and the electric field in the depletion region. For an unbiased junction, discuss the movement of majority and minority carriers and the resultant current that may arise at equillibrium. ",K2-UNDERSTAND
Explain why the intrinsic carrier concentration of Ge is higher than Si at T = 300 K. ,K2-UNDERSTAND
"Explain how the ionic, metallic, covalent, and mixed states solids are formed. Give an example of each solid and compare the electrical conductivity of the four types of solid. ",K2-UNDERSTAND
Explain with an energy band diagram how an electron-hole pair (EHP) is formed in a semiconductor. ,K2-UNDERSTAND
Draw the energy band diagram of the doped semiconductor at 300 K. ,K2-UNDERSTAND
Draw the energy band diagram of the pn junction. ,K2-UNDERSTAND
Find the reverse bias saturation current. ,K2-UNDERSTAND
State the four different bias modes of a BJT and explain how they are obtained. ,K2-UNDERSTAND
"Draw the band diagram of a reverse biased pn junction. With reference to the band diagram and charge carriers, explain why there is negligible current flow in the diode. ",K2-UNDERSTAND
An electron experiences a potential difference of 5 kV in vacuum. Find the wavelength of the particle. ,K2-UNDERSTAND
Draw the energy band diagram of an 11-type semiconductor and explain how an electron-hole pair (EHP) is formed. State any assumptions you have made. ,K2-UNDERSTAND
Draw the energy band diagram of an intrinsic Si and label the band gap energy. ,K2-UNDERSTAND
State two differences between a JFET and a BJT. ,K2-UNDERSTAND
Write down Schrodinger's equation in one dimension and explain the meaning of each term of the equation. ,K2-UNDERSTAND
State the four different bias modes of a BJT and explain how they are obtained. ,K2-UNDERSTAND
Explain why the electrical conductivity of a semiconductor is higher than an insulator by using the energy band diagram. ,K2-UNDERSTAND
State the conductivity of a semiconductor at 0 K and clearly explain your answer. ,K2-UNDERSTAND
"In a BJT, the width of the base quasineutral region has to be small compared to the minority carrier diffusion length. Explain why this is important ",K2-UNDERSTAND
Explain the creation of an electron-hole pair in an intrinsic Si semiconductor at room temperature by using the covalent bonding picture. ,K2-UNDERSTAND
Compare the electrical conductivity of an insulator and a semiconductor at room temperature by using the energy band diagram. ,K2-UNDERSTAND
Explain the change in conductivity for a metal and an intrinsic semiconductor as temperature increases. ,K2-UNDERSTAND
